SOURCE	REFERENCE	REFERENCE_PAGE	GROUPID	_EDITOR	COMMENT	VERSION	_COMMENT_INTERN	EXAMPLEID
PS			BS0004	Barbara		1		bcms0100001
PS			BS0005	Barbara		1		bcms0100002
PS			BS0006	Barbara		1		bcms0100003
PS			BS0010	Barbara		1		bcms0100004
PS			BS0011	Barbara		1		bcms0100005
PS			BS0018	Barbara		1	Unterschiedliche Kohäsion beim Futur in beiden Sätzen; passt/reicht hier FUTUR?	bcms0100006
PS			BS0018	Barbara		1		bcms0100007
PS			BS0019	Barbara		1	mit dem ru Bsp verbinden, um die Unterschiede in der Konstruktion zu zeigen? Oder völlig unabhängig erfassen?	bcms0100008
PS			BS0021	Barbara		1		bcms0100009
PS			BS0022	Barbara		1		bcms0100010
PS			BS0023	Barbara		1		bcms0100011
PS			BS0024	Barbara		1		bcms0100012
PS			BS0032	Barbara		1		bcms0100013
PS			BS0034	Barbara		1		bcms0100014
PS			BS0034	Barbara		1		bcms0100015
PS			BS0035	Barbara		1		bcms0100016
PS			BS0037	Barbara		1		bcms0100017
PS			BS0041	Barbara		1		bcms0100018
PS			BS0055	Barbara		1	formales Agreement auch anzeigen?	bcms0100019
PS			BS0061	Barbara		1		bcms0100020
PS			BS0062	Barbara		1		bcms0100021
PS			BS0063	Barbara		1		bcms0100022
PS			BS0064	Barbara		1		bcms0100023
	Birjulin & Xrakovskij (2001)		BW0023	Björn		1		bcms0100024
	Wiemer (2022)		BW0024	Björn	This example has been adapted from the original source.	1		bcms0100025
	Wiemer (2022)		BW0024	Björn	This example has been adapted from the original source.	1		bcms0100026
	Wiemer (2022)		BW0024	Björn	This example has been adapted from the original source.	1		bcms0100027
	Wiemer (2022)		BW0024	Björn	This example has been adapted from the original source.	1		bcms0100028
	Nomachi (2016)	454	BW0198	Björn		1		bcms0100029
SP2005			IM0009	Imke		1		bcms0100030
SP2005			IM0012	Imke		1		bcms0100031
hrWaC			IM0016	Imke	This example has been adapted from the original source.	1	ID34+35 bilden ein Paar, das zwei unterschiedliche Arten von Kongruenz in derselben Konstruktion zeigt	bcms0100032
hrWaC			IM0016	Imke	This example has been adapted from the original source.	1		bcms0100033
